
system:index,Burned_Area,CO,DW_bare,DW_built,DW_crops,DW_flooded,DW_grass,DW_shrub,DW_trees,DW_water,LST_C,NBR,NDMI,NDVI,NO2,S1_VH,S1_VV,S1_VV_VH,S2_B11,S2_B12,S2_B4,S2_B8,SAVI,SO2,T21,confidence,day,fire_date,fire_label,latitude,longitude,month,sample_type,source,year,.geo
2_3899_0,0,0.03935157528741125,0.04601807080209255,0.03685902622528374,0.0888144835550338,0.03014929166994989,0.045809206804260615,0.2016071450803429,0.4057244306150824,0.03273130591958761,32.61748729999999,0.1473885,-0.044393685,0.4430114,2.906906235000877E-5,-15.83393054075005,-9.383601932428142,6.450328608321907,2629.0,1787.5,928.5,2405.5,0.664417453891138,1.2132064499464741E-4,0,0,0,NO_FIRE,0,17.762082850078382,80.05610769980407,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05336654431116,17.764184743463538]}"
2_3900_0,0,0.03452768756858552,0.07150863291462883,0.16445927682798356,0.2824668165994808,0.03411813478063171,0.04935487639158964,0.1476644710637629,0.09883238412051772,0.03274785207274059,28.52269934000003,0.06908607,-0.03934181,0.2911138,1.4871168815083036E-5,-18.314527631733128,-10.758523581659151,7.556004050073977,3474.0,2796.0,1763.0,3211.0,0.4366267966629812,2.816367641580751E-5,0,0,0,NO_FIRE,0,9.255651746548942,78.76465445312591,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.76877568802024,9.25713900285167]}"
2_3901_0,0,0.03468729350023207,0.05319757344201207,0.051817190730944276,0.41661345440894365,0.03748405534774065,0.06847586177289486,0.15177575877867638,0.09840650952421129,0.0385770941991359,34.46663612000003,0.09243866,-0.050239444,0.35117057,2.5545834433830782E-5,-16.622828366828855,-9.643696505639035,6.9791318611898205,3015.5,2265.5,1309.5,2727.0,0.5266906118404756,7.46941200200923E-5,0,0,0,NO_FIRE,0,14.613603229598567,75.87299466060817,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.8762004731554,14.611098096204017]}"
2_3902_0,0,0.03243925862846865,0.04204045312033723,0.055644385121843734,0.09492367506027222,0.03213692737905228,0.05130369066382232,0.11487168424924754,0.4361036939688189,0.03461945629881128,24.56463217999999,0.25336787,0.044022445,0.45110977,2.14075395577117E-5,-15.370973362884328,-8.438906768599782,6.932066594284546,2215.0,1441.0,915.0,2419.0,0.6765632028789923,2.051039033549236E-5,0,0,0,NO_FIRE,0,13.215364678083843,76.69422868588423,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.69366738170415,13.218709405818759]}"
2_3903_0,0,0.03864453287803408,0.03225955706147943,0.053334221738623455,0.03761519637191668,0.02939584777050186,0.02894176504923962,0.04437778124702163,0.6916435905004619,0.03428504076146055,29.479744940000046,0.55245125,0.28630707,0.64893615,1.9030329769399066E-5,-14.49974912579329,-7.065446562994699,7.434302562798591,1634.0,849.0,627.0,2945.0,0.9732680195941217,3.795847645918221E-5,0,0,0,NO_FIRE,0,11.565898521713244,75.63903545263217,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.64263849928432,11.56580928303884]}"
2_3904_0,0,0.036800218263429024,0.08326197137695647,0.03273845351331176,0.057193693982797764,0.02929537363290306,0.11090251417349904,0.22460824458469306,0.3206905748680114,0.03688606486145046,20.421991939999998,0.1570595,-0.01460797,0.46426463,1.896402111461277E-5,-17.05949814313423,-10.48919277118264,6.570305371951591,2552.5,1806.0,907.0,2479.0,0.6962941089620552,1.0617244105961438E-4,0,0,0,NO_FIRE,0,17.835875052874815,82.31128334317432,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.30813790745115,17.8360499661931]}"
2_3905_0,0,0.03348026869003288,0.0571751833284417,0.11315081300787054,0.33242689543224585,0.034853657689661935,0.05463116124379807,0.17253231926140591,0.10839878069236875,0.033611242910130665,29.043947390000028,0.15390296,0.008071141,0.34722334,1.714051611267314E-5,-17.227363874000606,-9.245089371887712,7.982274502112894,2671.5,1990.75,1315.5,2714.975,0.5207704091441897,6.0650314333896453E-5,0,0,0,NO_FIRE,0,8.966542799986398,77.44591909743616,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.44825222036455,8.969678111933423]}"
2_3906_0,0,0.04062570504070157,0.07121917045878945,0.08120895861793542,0.17126669191929977,0.10911009350093082,0.04295182073110482,0.07633281033486128,0.07653480603767093,0.2534230380770168,33.167788520000045,0.18494795,0.048307125,0.24140245,3.175420139783933E-5,-17.03098078845245,-10.179885769146459,6.8510950193059905,1679.5,1272.5,1130.5,1850.0,0.3620429386112043,1.4871668256324563E-4,0,0,0,NO_FIRE,0,19.072417256858046,78.97344206300725,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.97538820336774,19.07572505827804]}"
2_3907_0,0,0.02943272699393493,0.03211597124754917,0.04540427010215353,0.040331977608730085,0.02716775468434207,0.044614437749260105,0.07769297709455714,0.653098920462071,0.03173142696323339,14.117454049999992,0.32685393,0.1357737,0.4048158,1.581735159262625E-5,-14.439976921581872,-7.736916050077012,6.70306087150486,2597.0,1731.5,1446.0,3413.0,0.6071612305792777,2.437667530619983E-5,0,0,0,NO_FIRE,0,9.567278319399005,77.10154036033356,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09790925955794,9.571549352293502]}"
2_3908_0,0,0.0385763664017844,0.06658693978533847,0.051615764545204,0.3418061342163128,0.07115522820458864,0.060609805270360084,0.09607285991296521,0.14330093928947463,0.08681836137839127,31.72709309000004,0.40428677,0.19974743,0.49622008,2.9620347335900013E-5,-17.86520015361354,-11.026018268766826,6.839181884846713,1901.0,1209.0,959.6,2850.0,0.7442324348442299,1.614245443352004E-4,0,0,0,NO_FIRE,0,18.78098915158338,78.19367348297908,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.19385390618375,18.7792810145186]}"
2_3909_0,0,0.03851304988201435,0.05405161814026845,0.05662513160010955,0.229237935175964,0.07380990898430657,0.07252495575812645,0.08216488616987287,0.1785557249483342,0.12045162164819583,31.54422901999999,0.42087242,0.21291198,0.48229447,2.613052846793403E-5,-16.11858091675844,-9.275366032183923,6.843214884574516,1858.0,1167.0,1000.0,2863.2,0.7233480860315241,1.740002749491522E-4,0,0,0,NO_FIRE,0,17.131474616331847,80.69792955430572,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70015354887721,17.135364044579873]}"
2_3910_0,0,0.0366935967307769,0.07604647468930731,0.043047218661134444,0.39861914301291107,0.04630477106353889,0.06456074794599166,0.11013685239013285,0.10864258574632307,0.06099765442001323,34.13167016,0.11942712,-0.05054859,0.306904,2.774108518596459E-5,-18.505028604969564,-10.20916792393267,8.295860681036894,2681.0,1906.0,1285.0,2423.0,0.4602939193744101,6.606170962239739E-5,0,0,0,NO_FIRE,0,15.591482651550027,77.00334080996832,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99909457830479,15.590261755894296]}"
2_3911_0,0,0.03366983066476843,0.04417409623041749,0.08527480920776725,0.12103744962252677,0.031401122305542234,0.038319028513506055,0.1964936045743525,0.3322545503079891,0.034072519950568675,32.190234799999985,0.05106554,-0.07288526,0.346035,1.9557591918729037E-5,-16.25020382195763,-9.223764741413408,7.026439080544222,3025.0,2360.0,1270.0,2614.0,0.5189857124469044,2.410465055366863E-5,0,0,0,NO_FIRE,0,13.692277795267984,76.1336012433406,0,BACKGROUND,BACKGROUND,2021,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.13671190555004,13.694816506402105]}"
